,hour,lat,lon,k,CO_interpolate,CO_REAL,NO2_interpolate,NO2_REAL,PM25_interpolate,PM25_REAL
4,4,-12.045286,-77.030902,6,859.1996459960938,1090.173,24.709854125976562,23.005,10.833614349365234,15.416
5,4,-12.045286,-77.030902,7,780.9005126953125,1090.173,24.6407413482666,23.005,10.705113410949707,15.416
0,5,-12.045286,-77.030902,2,534.063720703125,1060.51,23.0253849029541,27.895,7.868537425994873,10.096
1,5,-12.045286,-77.030902,3,582.159912109375,1060.51,25.184246063232422,27.895,8.007023811340332,10.096
2,5,-12.045286,-77.030902,4,649.9840087890625,1060.51,27.24413299560547,27.895,10.004718780517578,10.096
3,5,-12.045286,-77.030902,5,968.066162109375,1060.51,26.99528694152832,27.895,9.895166397094727,10.096
4,5,-12.045286,-77.030902,6,930.281005859375,1060.51,28.15248680114746,27.895,10.094653129577637,10.096
5,5,-12.045286,-77.030902,7,870.5112915039062,1060.51,28.22612190246582,27.895,10.085417747497559,10.096
0,6,-12.045286,-77.030902,2,581.020263671875,1265.18,29.417396545410156,34.16,11.023066520690918,18.211
1,6,-12.045286,-77.030902,3,640.8275146484375,1265.18,30.77692413330078,34.16,11.550041198730469,18.211
2,6,-12.045286,-77.030902,4,682.2801513671875,1265.18,32.54739761352539,34.16,13.788725852966309,18.211
3,6,-12.045286,-77.030902,5,1025.9615478515625,1265.18,32.1508903503418,34.16,14.12580680847168,18.211
4,6,-12.045286,-77.030902,6,1002.5928955078125,1265.18,33.204647064208984,34.16,14.858722686767578,18.211
5,6,-12.045286,-77.030902,7,961.0082397460938,1265.18,33.221839904785156,34.16,14.927325248718262,18.211
0,1,-12.050278,-77.026111,2,826.4793090820312,2164.005,14.499744415283203,14.334,22.97654151916504,22.579
1,1,-12.050278,-77.026111,3,919.4066772460938,2164.005,15.929113388061523,14.334,24.169321060180664,22.579
2,1,-12.050278,-77.026111,4,896.9351196289062,2164.005,17.51952362060547,14.334,23.189777374267578,22.579
3,1,-12.050278,-77.026111,5,778.5390014648438,2164.005,17.2452335357666,14.334,21.988882064819336,22.579
4,1,-12.050278,-77.026111,6,802.833251953125,2164.005,18.645463943481445,14.334,25.737565994262695,22.579
5,1,-12.050278,-77.026111,7,788.723876953125,2164.005,19.243181228637695,14.334,28.118759155273438,22.579
0,2,-12.050278,-77.026111,2,566.9783325195312,1957.501,15.051445007324219,13.352,16.06399154663086,16.894
1,2,-12.050278,-77.026111,3,700.9962768554688,1957.501,15.258289337158203,13.352,16.738971710205078,16.894
2,2,-12.050278,-77.026111,4,690.1130981445312,1957.501,16.255178451538086,13.352,15.777265548706055,16.894
3,2,-12.050278,-77.026111,5,581.6611328125,1957.501,15.740569114685059,13.352,15.072247505187988,16.894
4,2,-12.050278,-77.026111,6,598.8074951171875,1957.501,18.142698287963867,13.352,16.816293716430664,16.894
5,2,-12.050278,-77.026111,7,593.8590087890625,1957.501,18.56736183166504,13.352,18.996788024902344,16.894
0,3,-12.050278,-77.026111,2,692.2925415039062,1817.356,15.7256498336792,10.365,13.125975608825684,14.072
1,3,-12.050278,-77.026111,3,777.7174072265625,1817.356,14.935460090637207,10.365,13.827959060668945,14.072
2,3,-12.050278,-77.026111,4,744.3215942382812,1817.356,17.2865047454834,10.365,13.382486343383789,14.072
3,3,-12.050278,-77.026111,5,616.563720703125,1817.356,15.970270156860352,10.365,12.872215270996094,14.072
4,3,-12.050278,-77.026111,6,619.9085693359375,1817.356,18.35628318786621,10.365,14.715096473693848,14.072
5,3,-12.050278,-77.026111,7,609.9027709960938,1817.356,18.745145797729492,10.365,16.00080108642578,14.072
0,4,-12.050278,-77.026111,2,762.6721801757812,2133.072,24.720767974853516,20.979,10.352486610412598,9.775
1,4,-12.050278,-77.026111,3,871.8353881835938,2133.072,24.14886474609375,20.979,12.040266036987305,9.775
2,4,-12.050278,-77.026111,4,813.2550659179688,2133.072,24.717376708984375,20.979,11.226731300354004,9.775
3,4,-12.050278,-77.026111,5,681.0370483398438,2133.072,24.106531143188477,20.979,10.545819282531738,9.775
4,4,-12.050278,-77.026111,6,685.3671875,2133.072,25.04756736755371,20.979,11.773794174194336,9.775
5,4,-12.050278,-77.026111,7,660.9375,2133.072,25.067773818969727,20.979,12.616206169128418,9.775
0,5,-12.050278,-77.026111,2,800.1502685546875,2240.273,26.653217315673828,26.0,10.070530891418457,9.457
1,5,-12.050278,-77.026111,3,886.933837890625,2240.273,27.06713104248047,26.0,10.079020500183105,9.457
2,5,-12.050278,-77.026111,4,834.7906494140625,2240.273,27.675825119018555,26.0,9.630282402038574,9.457
3,5,-12.050278,-77.026111,5,709.673583984375,2240.273,27.477270126342773,26.0,9.041855812072754,9.457
4,5,-12.050278,-77.026111,6,733.6373901367188,2240.273,28.468347549438477,26.0,10.201160430908203,9.457
5,5,-12.050278,-77.026111,7,714.49560546875,2240.273,28.600170135498047,26.0,11.170105934143066,9.457
0,6,-12.050278,-77.026111,2,872.0303955078125,2400.556,32.2891845703125,30.565,15.82158088684082,15.474
